model_name,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,validation_pr_auc,loss,elapsed_seconds
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6185220987996219,3.220714958501696,0.015152710348551472,4.0,4.037360445004108,550.0,4.373312692707767,1.1676550318682155,0.8647456550371879,0.2281830690588697,-0.2281830690588697,9.637592554092407
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6117243704774709,0.061494161295294614,0.019412249474574195,4.0,1.0412219845351538,250.0,0.5754203028839022,2.4620040996211876,0.8803459820323881,0.2276377066798712,-0.2276377066798712,6.080045938491821
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6545365681327273,2.0576537287277645,0.044131048598045085,3.0,2.049792589189953,600.0,1.8835189824337981,0.2503105783202498,0.9521523003082655,0.22739702354083435,-0.22739702354083435,10.68746304512024
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.7517149605448037,4.22980000436168,0.03592885465625159,4.0,29.3346664945156,600.0,0.00017951895434069556,7.344244366436956,0.9031544412860262,0.22737793503841108,-0.22737793503841108,10.28673791885376
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6035921991538713,3.0455677094353963,0.015137588780488306,4.0,4.002075388080674,550.0,4.393206529970043,1.1308986638779828,0.9962644699955248,0.2270614150933013,-0.2270614150933013,9.512210607528687
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.8713272875791995,3.807865384983995,0.052269645839971464,4.0,3.1587231843165067,450.0,0.0022401583972882972,0.38182421377006504,0.8260163141315187,0.22686222431438507,-0.22686222431438507,8.222656726837158
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6632855608018366,4.6622574683653735,0.06921226455005579,3.0,18.46167039037099,450.0,0.000911854556408936,18.95364781330241,0.9563366632022017,0.22673528553901043,-0.22673528553901043,7.584336757659912
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.7197840270784446,0.39010295434188047,0.026865442974470504,3.0,1.6464808007306397,850.0,0.004444780063749301,0.3927484290401166,0.7637321609770884,0.22658764210829785,-0.22658764210829785,12.890665292739868
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6374907470482866,2.2765214320258416,0.018759557959295358,2.0,1.0393659416809264,550.0,0.26927626110224373,0.881236499431046,0.9983362378116206,0.22574175468787994,-0.22574175468787994,8.411266803741455
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.7367490548689456,0.02744016627414303,0.13521948903453462,2.0,6.81125528823598,300.0,1.1104180439770193,3.5932952126504465,0.7551474741766779,0.22471742174055298,-0.22471742174055298,5.890355825424194
